,ticker,last_date_in_db,last_date_retrieved,records_retrieved,records_updated,status,loop_time,capture_date
0,A,2023-11-30,2024-01-12,62,20,succesful_update,1.15,2024-01-15
1,AA,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
2,AAP,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
3,AAPL,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
4,AAWW,2023-03-17,1980-12-31,0,0,failed_no_data,1.6,2024-01-15
5,ABBV,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
6,ABC,2023-08-29,1980-12-31,0,0,failed_no_data,0.84,2024-01-15
7,ABCB,2023-11-30,2024-01-12,62,20,succesful_update,1.06,2024-01-15
8,ABG,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
9,ABM,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
10,ABR,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
11,ABT,2023-11-30,2024-01-12,62,20,succesful_update,1.22,2024-01-15
12,ACA,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
13,ACGL,2023-11-30,2024-01-12,62,20,succesful_update,1.21,2024-01-15
14,ACGLN,2023-11-30,2024-01-12,62,20,succesful_update,1.16,2024-01-15
15,ACGLO,2023-11-30,2024-01-12,62,20,succesful_update,1.08,2024-01-15
16,ACHC,2023-11-30,2024-01-12,62,20,succesful_update,1.04,2024-01-15
17,ACIW,2023-11-30,2024-01-12,62,20,succesful_update,1.03,2024-01-15
18,ADBE,2023-11-30,2024-01-12,62,20,succesful_update,1.05,2024-01-15
19,ADC,2023-11-30,2024-01-12,62,20,succesful_update,1.07,2024-01-15
20,ADI,2023-11-30,2024-01-12,62,20,succesful_update,1.01,2024-01-15
21,ADM,2023-11-30,2024-01-12,62,20,succesful_update,1.02,2024-01-15
22,ADNT,2023-11-30,2024-01-12,62,20,succesful_update,1.15,2024-01-15
