ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date,capture_date
A,1090872,Agilent Technologies Inc,3826,106001,NYSE,18/11/1999,31/12/9998,30/09/2015
AA,1675149,Alcoa Inc,3334,110004,NYSE,01/11/2016,31/12/9998,30/09/2017
AAC,9000001,American Addiction Centers,9999,106011,NYSE,02/10/2014,04/11/2019,30/09/2020
AAL,6201,American Airlines Group Inc,4512,100006,NASDAQ,27/09/2005,31/12/9998,30/09/2015
AAME,8177,Atlantic American Corp,6311,104004,NASDAQ,07/09/1984,31/12/9998,30/09/2015
AAN,706688,Aarons Inc,7359,100007,NYSE,07/09/1984,31/12/9998,30/09/2015
AAOI,1158114,Applied Optoelectronics Inc,3674,101004,NASDAQ,26/09/2013,31/12/9998,30/09/2015
AAON,824142,AAON Inc,3585,100001,NASDAQ,16/12/1992,31/12/9998,30/09/2015
AAP,1158449,Advance Auto Parts Inc,5531,103002,NYSE,29/11/2001,31/12/9998,30/09/2015
AAPL,320193,Apple Inc,3571,101001,NASDAQ,12/12/1980,31/12/9998,30/09/2015
AAT,1500217,American Assets Trust Inc,6798,109001,NYSE,13/01/2011,31/12/9998,30/09/2015
AAWW,1135185,Atlas Air Worldwide Holdings Inc,4522,100010,NASDAQ,09/11/2005,31/12/9998,30/09/2015
AAXN,1069183,Axon Enterprise Inc,3480,100008,NASDAQ,07/06/2001,31/12/9998,30/09/2015
AB,825313,AllianceBernstein Holding LP,6282,104001,NYSE,15/04/1988,31/12/9998,30/09/2015
ABAX,881890,Abaxis Inc,3829,106001,NASDAQ,23/01/1992,01/08/2018,30/09/2018
ABBV,1551152,AbbVie Inc,2834,106005,NYSE,02/01/2013,31/12/9998,30/09/2015
ABC,1140859,AmerisourceBergen Corp,5122,106014,NYSE,04/04/1995,31/12/9998,30/09/2015
ABCB,351569,Ameris Bancorp,6022,104002,NASDAQ,19/05/1994,31/12/9998,30/09/2015
ABCD,1466815,Cambium Learning Group Inc,2741,102006,NASDAQ,09/12/2009,18/12/2018,30/09/2019
ABCO,1157377,The Advisory Board Company,8741,101003,NASDAQ,13/11/2001,17/11/2017,30/09/2018
ABG,1144980,Asbury Automotive Group Inc,5500,103005,NYSE,21/03/2002,31/12/9998,30/09/2015
ABM,771497,ABM Industries Inc,7340,100002,NYSE,19/07/1984,31/12/9998,30/09/2015
ABMC,896747,NVS,2834,106002,NVS,01/01/1900,01/01/1900,30/09/2015
ABMD,815094,ABIOMED Inc,3841,106004,NASDAQ,30/07/1987,31/12/9998,30/09/2015
ABR,1253986,Arbor Realty Trust Inc,6798,109001,NYSE,07/04/2004,31/12/9998,30/09/2015
ABRN,1253986,ARBOR REALTY TRUST INC,6798,999999,NYSE,15/05/2014,26/04/2018,30/09/2018
ABT,1800,Abbott Laboratories,2834,106004,NYSE,06/04/1983,31/12/9998,30/09/2015
ABTL,9000002,Autobytel Inc,9999,101002,NASDAQ,26/03/1999,06/10/2017,30/09/2018
AC,1642122,Associated Capital Group Inc Class A,6211,104003,NYSE,01/12/2015,31/12/9998,30/09/2016
ACA,1739445,"Arcosa, Inc.",3440,100003,NYSE,30/10/2018,31/12/9998,30/09/2019
ACAD,1070494,ACADIA Pharmaceuticals Inc,2834,106002,NASDAQ,27/05/2004,31/12/9998,30/09/2015
ACAT,719866,Arctic Cat Inc,3790,103005,NASDAQ,02/01/2001,07/03/2017,30/09/2017
ACC,1283630,American Campus Communities Inc,6798,109001,NYSE,12/08/2004,31/12/9998,30/09/2015
ACCO,712034,ACCO Brands Corp,2780,100001,NYSE,17/08/2005,31/12/9998,30/09/2015
ACET,2034,ACETO CORP,5122,106002,NASDAQ,26/01/2018,31/12/9998,30/09/2018
ACETQ,2034,ACETO CORP,5122,999999,NASDAQ,26/03/1990,01/10/2019,30/09/2020
ACGL,947484,Arch Capital Group Ltd,6331,104013,NASDAQ,14/09/1995,31/12/9998,30/09/2015
ACGLN,947484,ARCH CAPITAL GROUP LTD.,6331,999999,NASDAQ,03/06/2021,31/12/9998,30/09/2021
ACGLO,947484,ARCH CAPITAL GROUP LTD.,6331,999999,NASDAQ,15/08/2017,31/12/9998,30/09/2017
ACHC,1520697,Acadia Healthcare Company Inc,8093,106011,NASDAQ,04/03/1994,31/12/9998,30/09/2015
ACHN,1070336,Achillion Pharmaceuticals Inc,2834,106005,NASDAQ,09/11/2006,28/01/2020,30/09/2020
ACIA,1651235,Aprecia Inc,3674,101005,NASDAQ,13/05/2016,31/12/9998,30/09/2016
ACIW,935036,ACI Worldwide Inc,7372,101003,NASDAQ,27/02/1995,31/12/9998,30/09/2015
ACLS,1113232,Axcelis Technologies Inc,3559,101004,NASDAQ,11/07/2000,31/12/9998,30/09/2015
ACLZ,9000003,NVS,9999,108001,NVS,01/01/1900,01/01/1900,30/09/2015
ACM,868857,AECOM,8711,100003,NYSE,10/05/2007,31/12/9998,30/09/2015
ACN,1467373,Accenture Plc,7389,108002,NYSE,19/07/2001,31/12/9998,30/09/2015
ACOR,1008848,Acorda Therapeutics Inc,2836,106002,NASDAQ,10/02/2006,31/12/9998,30/09/2015
ACRX,1427925,Acelrx Pharmaceuticals Inc,2834,106004,NASDAQ,11/02/2011,31/12/9998,30/09/2015
ACT,884629,"Actavis, Inc.",2834,106002,NVS,01/01/1900,01/01/1900,30/09/2015
ACTG,934549,Acacia Research Corp,6794,108001,NASDAQ,16/12/2002,31/12/9998,30/09/2015
ACW,9000005,Accuride Corp,9999,100012,NYSE,03/03/2010,28/11/2016,30/09/2017
ACY,1036848,AeroCentury Corp,7359,100007,NYSE,20/01/1998,31/12/9998,30/09/2015
ADAP,1621227,Adaptimmune Therapeutics Plc,2836,106002,NASDAQ,06/05/2015,31/12/9998,30/09/2015
ADBE,796343,Adobe Systems Inc,7372,101003,NASDAQ,14/08/1986,31/12/9998,30/09/2015
ADC,917251,Agree Realty Corp,6798,109001,NYSE,15/04/1994,31/12/9998,30/09/2015
ADES,1515156,Advanced Emissions Solutions Inc,2890,100001,NASDAQ,23/01/2004,31/12/9998,30/09/2015
ADI,6281,Analog Devices Inc,3674,101004,NASDAQ,19/07/1984,31/12/9998,30/09/2015
ADM,7084,Archer Daniels Midland Company,2070,102002,NYSE,05/04/1983,31/12/9998,30/09/2015
ADNT,1670541,Ardnet Mines Ltd,3714,103005,NYSE,31/10/2016,31/12/9998,30/09/2017
ADP,8670,Automatic Data Processing,7374,100002,NASDAQ,06/04/1983,31/12/9998,30/09/2015
ADPT,1478320,Adaptive Biotechnologies Corp,2836,106002,NASDAQ,27/06/2019,31/12/9998,30/09/2019
ADPT,1478320,Adaptive Biotechnologies Corp,2836,106002,NYSE,25/06/2014,20/04/2017,30/09/2017
ADRO,1435049,Aduro BioTech Inc,2834,106002,NASDAQ,15/04/2015,31/12/9998,30/09/2015
ADS,1101215,Alliance Data Systems Corp,7389,104007,NYSE,15/06/2001,31/12/9998,30/09/2015
ADSK,769397,Autodesk Inc,7372,101003,NASDAQ,01/07/1985,31/12/9998,30/09/2015
ADSW,1585790,Advanced Disposal Services Inc,4953,100004,NYSE,06/10/2016,31/12/9998,30/09/2017
ADSW,1585790,"Advanced Disposal Services, Inc.",4953,100004,NYSE,06/10/2016,05/11/2021,30/11/2021
ADT,1703056,ADT Inc,7381,101001,NYSE,19/01/2018,31/12/9998,30/09/2018
ADT,1703056,ADT Inc.,7381,101001,NYSE,28/09/2012,01/05/2020,30/09/2020
ADTN,926282,ADTRAN Inc,3661,101005,NASDAQ,10/08/1994,31/12/9998,30/09/2015
ADVM,1501756,Adverum Biotechnologies Inc,2836,106002,NASDAQ,04/01/2016,31/12/9998,30/09/2016
AE,2178,Adams Resources Energy Inc,5172,107005,NYSE,07/09/1984,31/12/9998,30/09/2015
AEE,1002910,Ameren Corp,4931,105001,NYSE,02/01/1998,31/12/9998,30/09/2015
AEGN,353020,Aegion Corp Class A,1623,100003,NASDAQ,24/04/1989,31/12/9998,30/09/2015
AEGN,353020,Aegion Corp,1623,999999,NASDAQ,24/04/1989,17/05/2021,30/09/2021
AEHR,1040470,Aehr Test Systems,3825,101004,NASDAQ,15/08/1997,31/12/9998,30/09/2015
AEIS,927003,Advanced Energy Industries Inc,3679,101001,NASDAQ,17/11/1995,31/12/9998,30/09/2015
AEL,1039828,American Equity Investment Life Holding Company,6311,104004,NYSE,04/12/2003,31/12/9998,30/09/2015
AEO,919012,American Eagle Outfitters,5651,103002,NYSE,14/04/1994,31/12/9998,30/09/2015
AEP,4904,American Electric Power Company Inc,4911,105001,NYSE,02/01/1970,31/12/9998,30/09/2015
AEPI,785787,AEP Industries,3081,103018,NASDAQ,02/01/2001,30/01/2017,30/09/2017
AEPPL,4904,AMERICAN ELECTRIC POWER CO INC,4911,999999,NASDAQ,15/03/2019,31/12/9998,30/09/2019
AEPPZ,4904,AMERICAN ELECTRIC POWER CO INC,4911,999999,NASDAQ,01/10/2020,31/12/9998,30/09/2021
AERI,1337553,Aerie Pharmaceuticals Inc,2836,106002,NASDAQ,25/10/2013,31/12/9998,30/09/2015
AES,874761,The AES Corp,4991,105001,NYSE,26/06/1991,31/12/9998,30/09/2015
AESC,874761,AES CORP,4991,999999,NYSE,05/03/2021,31/12/9998,30/09/2021
AET,1122304,Aetna Inc,6324,106006,NYSE,03/01/1977,28/11/2018,30/09/2019
AF,910322,Astoria Financial Corp,6035,104003,NYSE,18/11/1993,02/10/2017,30/09/2018
AFA,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,28/08/2012,24/08/2017,30/09/2017
AFAM,799231,Almost Family Inc,8300,999999,NASDAQ,19/02/1993,02/04/2018,30/09/2018
AFG,1042046,American Financial Group,6331,104006,NYSE,06/04/1983,31/12/9998,30/09/2015
AFGB,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,19/03/2019,31/12/9998,30/09/2019
AFGC,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,04/08/2011,29/08/2019,30/09/2019
AFGC,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,04/12/2019,31/12/9998,30/09/2020
AFGD,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,03/06/2020,31/12/9998,30/09/2020
AFGE,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,24/09/2014,31/12/9998,30/09/2015
