ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date
A,1090872,Agilent Technologies Inc,3826,106001,NYSE,18/11/1999,31/12/9998
AA,1675149,Alcoa Inc,3334,110004,NYSE,01/11/2016,31/12/9998
AAC,9000001,American Addiction Centers,9999,999999,NYSE,02/10/2014,04/11/2019
AAL,6201,American Airlines Group Inc,4512,100006,NASDAQ,27/09/2005,31/12/9998
AAME,8177,Atlantic American Corp,6311,104004,NASDAQ,07/09/1984,31/12/9998
AAN,706688,Aarons Inc,7359,100007,NYSE,07/09/1984,31/12/9998
AAOI,1158114,Applied Optoelectronics Inc,3674,101004,NASDAQ,26/09/2013,31/12/9998
AAON,824142,AAON Inc,3585,100001,NASDAQ,16/12/1992,31/12/9998
AAP,1158449,Advance Auto Parts Inc,5531,103002,NYSE,29/11/2001,31/12/9998
AAPL,320193,Apple Inc,3571,101001,NASDAQ,12/12/1980,31/12/9998
AAT,1500217,American Assets Trust Inc,6798,109001,NYSE,13/01/2011,31/12/9998
AAWW,1135185,Atlas Air Worldwide Holdings Inc,4522,100010,NASDAQ,09/11/2005,31/12/9998
AAXN,1069183,Axon Enterprise Inc,3480,100008,NASDAQ,07/06/2001,31/12/9998
AB,825313,AllianceBernstein Holding LP,6282,104001,NYSE,15/04/1988,31/12/9998
ABAX,881890,Abaxis Inc,3829,106001,NASDAQ,23/01/1992,01/08/2018
ABBV,1551152,AbbVie Inc,2834,106005,NYSE,02/01/2013,31/12/9998
ABC,1140859,AmerisourceBergen Corp,5122,106014,NYSE,04/04/1995,31/12/9998
ABCB,351569,Ameris Bancorp,6022,104002,NASDAQ,19/05/1994,31/12/9998
ABCD,1466815,Cambium Learning Group Inc,2741,102006,NASDAQ,09/12/2009,18/12/2018
ABCO,1157377,The Advisory Board Company,8741,999999,NASDAQ,13/11/2001,17/11/2017
ABG,1144980,Asbury Automotive Group Inc,5500,103005,NYSE,21/03/2002,31/12/9998
ABM,771497,ABM Industries Inc,7340,100002,NYSE,19/07/1984,31/12/9998
ABMC,896747,NVS,2834,106002,NVS,01/01/1900,01/01/1900
ABMD,815094,ABIOMED Inc,3841,106004,NASDAQ,30/07/1987,31/12/9998
ABR,1253986,Arbor Realty Trust Inc,6798,109001,NYSE,07/04/2004,31/12/9998
ABT,1800,Abbott Laboratories,2834,106004,NYSE,06/04/1983,31/12/9998
ABTL,9000002,Autobytel Inc,9999,101002,NASDAQ,26/03/1999,06/10/2017
AC,1642122,Associated Capital Group Inc Class A,6211,104003,NYSE,01/12/2015,31/12/9998
ACAD,1070494,ACADIA Pharmaceuticals Inc,2834,106002,NASDAQ,27/05/2004,31/12/9998
ACAT,719866,Arctic Cat Inc,3790,103005,NASDAQ,02/01/2001,07/03/2017
ACC,1283630,American Campus Communities Inc,6798,109001,NYSE,12/08/2004,31/12/9998
ACCO,712034,ACCO Brands Corp,2780,100001,NYSE,17/08/2005,31/12/9998
ACET,2034,NVS,5122,106005,NVS,01/01/1900,01/01/1900
ACGL,947484,Arch Capital Group Ltd,6331,104013,NASDAQ,14/09/1995,31/12/9998
ACHC,1520697,Acadia Healthcare Company Inc,8093,106011,NASDAQ,04/03/1994,31/12/9998
ACHN,1070336,Achillion Pharmaceuticals Inc,2834,999999,NASDAQ,09/11/2006,28/01/2020
